OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,IMPORT_STATUS,INDUSTRY_CLASS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,SUBMODEL,TLA,TRANSMISSION_TYPE,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
3001,WHITE,SALOON,1971,1979,5,0,NEW,PRIVATE,PEUGEOT,504,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1979
3002,GOLD,HATCHBACK,1769,2005,5,1245,NEW,PRIVATE,NISSAN,PULSAR,PETROL,0,5,IMPORTED BUILT-UP,UNITED KINGDOM,92,NONE,1.8 HATCH AUTO,AUCKLAND,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3003,RED,SALOON,5665,2005,9,2129,NEW,PRIVATE,HOLDEN,COMMODORE,PETROL,0,5,IMPORTED BUILT-UP,AUSTRALIA,245,NONE,S V8 AUTO,AUCKLAND,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3004,BLUE,HATCHBACK,1796,2003,10,1690,NEW,PRIVATE,HOLDEN,ASTRA,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,85,NONE,CD HATCH 1.8L AUTO,AUCKLAND,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
3005,SILVER,HATCHBACK,1796,2003,6,1640,NEW,PRIVATE,HOLDEN,ASTRA,PETROL,0,5,IMPORTED BUILT-UP,GERMANY,85,NONE,CITY HATCH 1.8L MAN,AUCKLAND,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
3006,BLUE,SALOON,1796,2003,7,1690,NEW,PRIVATE,HOLDEN,ASTRA,PETROL,0,5,IMPORTED BUILT-UP,GERMANY,85,NONE,CITY SEDAN 1.8L MAN,WHANGANUI DISTRICT,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
3007,SILVER,SALOON,2946,2005,7,0,NEW,PRIVATE,PEUGEOT,407,PETROL,0,5,IMPORTED BUILT-UP,FRANCE,155,NONE,V6 3.0 5DR 6SP A P,NAPIER CITY,6-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3008,BLACK,STATION WAGON,1968,2012,4,2185,NEW,PRIVATE,AUDI,Q3,DIESEL,0,5,IMPORTED BUILT-UP,GERMANY,130,NONE,2.0 TDI Q S TRONIC,AUCKLAND,7-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
3009,SILVER,SALOON,1800,1990,5,0,NEW,UNKNOWN,SUBARU,LEGACY,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,DL 1.8,WHANGAREI DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
3010,GOLD,SALOON,1725,1973,5,0,NEW,PRIVATE,SUNBEAM,SCEPTRE,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,HURUNUI DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1973
3011,GOLD,MOTORCYCLE,996,2009,1,0,USED,PRIVATE,HONDA,XL,PETROL,0,0,IMPORTED BUILT-UP,JAPAN,0,AUSTRALIA,1000V,NAPIER CITY,,MOTORCYCLE,PRIVATE PASSENGER,1998
3012,SILVER,SALOON,3498,2006,4,0,NEW,PRIVATE,NISSAN,MAXIMA,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,170,NONE,3.5 PETROL ST,KAPITI COAST DISTRICT,6-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3013,RED,HATCHBACK,1997,2010,1,1921,NEW,PRIVATE,PEUGEOT,308,DIESEL,2,5,IMPORTED BUILT-UP,FRANCE,100,NONE,HDI AUTO,PORIRUA CITY,6-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
3014,SILVER,STATION WAGON,1990,2009,11,1815,USED,PRIVATE,PEUGEOT,307,PETROL,2,7,IMPORTED BUILT-UP,FRANCE,0,JAPAN,SW,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
3015,SILVER,HATCHBACK,1769,2005,3,1235,NEW,PRIVATE,NISSAN,PULSAR,PETROL,0,5,IMPORTED BUILT-UP,UNITED KINGDOM,92,NONE,1.8 LS HATCH MAN,WESTERN BAY OF PLENTY DISTRICT,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3016,SILVER,STATION WAGON,2362,2009,12,1875,USED,PRIVATE,TOYOTA,IPSUM,PETROL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,240S,WELLINGTON CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
3017,GREY,SALOON,3498,2006,3,0,NEW,PRIVATE,NISSAN,MAXIMA,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,170,NONE,3.5 PETROL TI LTHR,NAPIER CITY,6-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3018,SILVER,HATCHBACK,1330,2007,10,1275,USED,PRIVATE,HONDA,FIT,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,DUNEDIN CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
3019,SILVER,SALOON,3497,2006,3,2095,NEW,PRIVATE,MITSUBISHI,DIAMANTE,PETROL,0,5,IMPORTED BUILT-UP,AUSTRALIA,163,NONE,3.5P VR-X SEDAN A,TAURANGA CITY,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3020,RED,HATCHBACK,1295,1989,8,0,NEW,PRIVATE,TOYOTA,STARLET,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,1.3XL,WELLINGTON CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1989
