origintime,longitude,latitude,depth,magnitude
2020-02-0410:09:19.390,178.2905884,-36.09822464,173.2819824,3.000345518
2019-11-1904:20:49.508,177.7406769,-36.1273613,166.0531158,3.000691034
2020-05-3002:44:36.111,174.9374695,-40.4591713,27.92285538,3.001037492
2020-02-2620:25:48.591,176.8084106,-39.74663162,38.67671967,3.001290247
2019-09-1412:08:43.043,177.6381226,-36.45155334,230.0276947,3.001376208
2020-04-1022:54:25.540,178.2973785,-35.89234924,172.7309418,3.001471935
2019-07-2101:16:38.669,174.2780609,-41.69115067,13.10708618,3.002314289
2020-05-2618:03:24.824,174.9792175,-40.43958282,30.21107101,3.002471327
2019-08-1505:28:09.559,167.8402557,-44.53642654,5,3.002662877
2019-10-1215:04:52.324,177.3330078,-36.36330795,5,3.002744383
2019-07-1800:24:37.679,176.766037,-37.18084335,242.6272736,3.003403916
2019-09-2012:58:42.281,173.4948425,-40.25520706,156.9949951,3.003560769
2019-10-1623:49:45.112,177.3279419,-36.44692993,5,3.0036423
2020-01-0822:47:10.141,173.8899689,-40.82197189,64.69511414,3.004195837
2019-11-1101:14:04.587,171.4741364,-44.35194778,6.056923866,3.004331349
2019-09-2111:14:25.368,176.7560883,-40.74871063,33,3.004333404
2020-05-2023:19:17.610,175.0189972,-40.1016655,20.95322418,3.005698487
2019-07-0403:26:48.261,173.7443695,-42.04167938,3.96260643,3.005701451
2020-05-1019:18:11.554,166.9994812,-45.7597847,5,3.005717899
2019-10-2016:39:57.435,169.8904877,-44.45186234,5,3.005989866
2019-09-1201:10:27.542,177.5579834,-36.79312515,156.2155914,3.006181879
2019-09-2600:41:18.429,171.9761047,-43.15909195,5,3.007429576
2020-02-2702:19:37.922,179.851532,-36.43434906,12,3.007781781
2019-07-3014:55:55.869,173.2267914,-41.43173599,58.95534134,3.007996687
2020-01-0819:52:47.467,166.737793,-45.10656357,21.04069901,3.00843327
2019-06-1720:52:34.282,177.5702209,-36.83938217,152.4534454,3.009865679
2019-11-0914:16:08.238,176.0401459,-39.75213242,29.22702408,3.009888168
2019-08-1617:21:25.000,177.2146301,-37.0112648,12,3.010185247
2019-10-0318:24:15.053,177.4056854,-42.12386322,33,3.010513435
2019-08-2107:10:16.796,177.3892212,-39.18730164,19.4164772,3.010534738
2019-12-2700:24:01.674,177.4127197,-36.73192596,12,3.010822702
2019-12-1410:26:12.704,174.0767212,-39.72185898,174.9710541,3.010907781
2020-03-1015:38:18.987,-179.8613739,-37.53419876,33,3.011401263
2019-06-2505:39:49.719,179.4456635,-36.90322113,12,3.011572914
2020-01-0519:55:52.916,168.2084045,-44.45884705,2.17075634,3.011788273
2019-11-1006:01:58.908,176.7206573,-37.74836349,147.0406647,3.011919908
2019-11-1620:16:29.695,166.9308319,-45.30757904,9.154885292,3.01235776
2020-01-1516:29:06.876,177.0918427,-37.63611221,5,3.012373392
2019-12-2516:10:06.254,176.1538849,-38.27206802,159.4147339,3.013370651
2019-08-1302:13:30.260,167.88591,-44.51025772,5,3.015276521
2019-07-0609:14:42.804,175.8606567,-38.80945969,6.961529732,3.015584102
2019-09-0115:19:58.899,173.795105,-39.27975082,8.792037964,3.016679934
2019-09-3017:10:35.514,174.2890015,-40.64510727,58.21802139,3.016887382
2019-07-3106:23:42.516,179.1300659,-37.15284729,12,3.017180779
2019-06-2209:14:14.612,177.1560211,-37.53808975,5,3.017483583
2020-05-0205:43:26.386,167.0704346,-45.78015137,62.59092712,3.019124542
2020-01-2421:52:39.248,166.6593018,-45.50015259,4.663392544,3.019169235
2020-02-2912:08:46.372,175.2710266,-38.93872833,156.3230286,3.019273949
2019-11-0219:21:07.371,173.5571899,-40.2018013,191.0985413,3.019456021
2020-02-1317:00:39.463,173.664444,-40.09716797,156.5966187,3.019539557
2019-09-3016:33:34.102,178.8202667,-36.24536514,213.0423279,3.020410429
2019-06-0820:41:25.815,168.1546021,-44.36489487,5,3.020962816
2020-03-1712:31:34.169,177.5683289,-37.77285385,32.09050369,3.021421486
2019-07-1520:49:52.155,178.8981628,-39.30957031,33,3.022219826
2020-02-1420:02:19.973,176.2579193,-37.6519928,215.8697968,3.023008853
2019-12-0121:02:34.396,178.1464691,-37.80205917,27.87074471,3.02306537
2020-05-2911:02:17.365,174.9365082,-40.4683609,26.429245,3.023565037
2020-05-0514:48:56.929,166.1838837,-46.49960327,12,3.024425857
2019-08-0503:05:27.245,177.3591003,-37.25919342,12,3.024522323
2020-03-1020:54:20.766,166.873291,-45.16687012,12,3.024755798
2019-08-1212:06:01.795,167.9035645,-44.55994415,10.95628548,3.025288606
2019-10-1204:36:35.925,176.7707062,-39.5788002,23.71358109,3.025361254
2019-07-2516:01:31.503,168.2957611,-43.71369934,12,3.025542267
2020-02-1718:29:02.396,175.861557,-40.63270187,21.37844658,3.02555499
2019-07-1708:53:42.799,178.1256256,-38.44107437,20.4083252,3.025925642
2019-09-0518:53:35.388,168.3008575,-44.39875412,5,3.02635532
2019-12-2219:16:42.582,175.8594666,-38.31555939,159.073761,3.026501559
2019-12-2922:44:51.377,174.2248993,-41.59260559,12.32667542,3.026861951
