HHID,HHSTRUCTURE,DWELLTYPE,OWNDWELL,HHINC_grp,HHSIZE,YEARSLIVED,TOTALBIKESUSED,TOTALVEHS,ADULTS,AGE5_18,TERTIARYEDU,SECONDARYEDU,PRIMARYEDU,FULLTIME,PARTTIME,CASUAL,TOTWORK,TOTTRIPS
AAAA085419,Other HH Structures,Separate House,Being Purchased,1650 - 2499,3,15,0,3,3,0,0,0,0,2,1,0,3,6
AAAA194610,Sole Person,Separate House,Owned,<650,1,28,0,1,1,0,0,0,0,0,0,0,0,0
AAAA050316,Couple with Kids,Terrace/Townhouse,Owned,2500+,3,3,0,3,3,0,0,0,0,2,1,0,3,6
AAAA163603,Sole Person,Separate House,Owned,1100 - 1649,1,20,1,1,1,0,0,0,0,1,0,0,0,0
AAAA092803,One-Parent,Flat or Apartment,Rented,650 - 1099,2,7,0,0,1,1,0,0,0,0,0,2,2,4
AAAA103304,Couple no Kids,Separate House,Owned,1650 - 2499,2,2,0,3,2,0,0,0,0,2,0,0,0,3
AAAA073509,Sole Person,Separate House,Occupied Rent-Free,<650,1,44,0,1,1,0,0,0,0,0,0,1,0,4
AAAA082620,Sole Person,Terrace/Townhouse,Being Purchased,1100 - 1649,1,1,0,1,1,0,0,0,0,1,0,0,0,0
AAAA101804,Sole Person,Terrace/Townhouse,Rented,2500+,1,0,0,1,1,0,0,0,0,1,0,0,0,2
AAAA045241,Sole Person,Separate House,Owned,1100 - 1649,1,12,0,2,1,0,0,0,0,1,0,0,0,2
AAAA050023,Couple no Kids,Separate House,Owned,<650,2,4,0,3,2,0,0,0,0,0,0,0,0,12
AAAA070212,Sole Person,Separate House,Owned,<650,1,50,0,1,1,0,0,0,0,0,0,0,0,2
AAAA020008,Couple with Kids,Separate House,Being Purchased,1650 - 2499,4,12,4,2,2,2,0,0,2,1,1,0,0,20
AAAA032331,Couple no Kids,Separate House,Owned,650 - 1099,2,40,0,2,2,0,0,0,0,0,0,0,0,5
AAAA043015,One-Parent,Separate House,Being Purchased,1100 - 1649,3,6,2,1,1,2,0,1,1,1,0,0,1,15
AAAA050205,Sole Person,Flat or Apartment,Owned,<650,1,20,0,1,1,0,0,0,0,0,0,0,0,4
AAAA123101,Couple no Kids,Separate House,Being Purchased,1650 - 2499,2,2,0,2,2,0,0,0,0,2,0,0,2,4
AAAA060020,Couple no Kids,Separate House,Owned,1100 - 1649,2,34,0,3,2,0,0,0,0,0,0,0,0,24
AAAA120523,Sole Person,Flat or Apartment,Owned,<650,1,19,0,1,1,0,0,0,0,0,0,0,0,3
AAAA070115,Couple with Kids,Separate House,Being Purchased,1100 - 1649,3,18,0,1,2,1,0,1,0,1,0,1,0,10
AAAA144328,Other HH Structures,Separate House,Owned,2500+,2,4,0,2,2,0,0,0,0,2,0,0,0,0
AAAA062123,Couple with Kids,Separate House,Being Purchased,1650 - 2499,5,9,3,3,2,2,0,0,2,1,1,0,6,30
AAAA053232,Couple with Kids,Separate House,Owned,1650 - 2499,4,24,0,3,4,0,0,0,0,2,1,1,0,2
AAAA054930,Couple with Kids,Separate House,Being Purchased,2500+,3,15,0,3,3,0,1,0,0,2,0,0,2,10
AAAA071521,Couple with Kids,Separate House,Owned,2500+,4,25,1,2,3,1,0,1,0,2,0,1,0,3
